typeName
UnitDataSheet
prefixID
2600000000
long:Int64:tid,string:String:description,string:String:name,string:String:resource,long:Int64:skillEffectTidNormal,enum:Grade:grade,int:Int32:starlevel,list:statusDataList,list:statusDataList:BasicStat:Stats:type,list:statusDataList:BasicStat:String:value,long:Int64:skillTid,long:Int64:finalSkillTid,list:statusPerLevels,list:statusPerLevels:UnitStatusPerLevelData:Int32:level,list:statusPerLevels:UnitStatusPerLevelData:StatsValue:attackPower:Stats:type,list:statusPerLevels:UnitStatusPerLevelData:StatsValue:attackPower:Stats:pairType,list:statusPerLevels:UnitStatusPerLevelData:StatsValue:attackPower:String:value,list:statusPerLevels:UnitStatusPerLevelData:StatsValue:attackPower:String:perLevel,list:statusPerLevels:UnitStatusPerLevelData:StatsValue:hp:Stats:type,list:statusPerLevels:UnitStatusPerLevelData:StatsValue:hp:Stats:pairType,list:statusPerLevels:UnitStatusPerLevelData:StatsValue:hp:String:value,list:statusPerLevels:UnitStatusPerLevelData:StatsValue:hp:String:perLevel
,,,,,,,,SuperCriticalDamage,1,,,,,,,,,,,,
,,,,,,,,AttackSpeed,1,,,,,,,,,,,,
,,,,,,,,AttackpowerIncrease,1,,,,,,,,,,,,
,,,,,,,,HpIncrease,1,,,,,,,,,,,,
,,,,,,,,SkillCooldown,1,,,,,,,,,,,,
,,,,,,,,SkillDamage,1,,,,,,,,,,,,
,,,,,,,,EnemyDamagePlus,1,,,,,,,,,,,,
,,,,,,,,BossDamagePlus,1,,,,,,,,,,,,
,,,,,,,,Evasion,1,,,,,,,,,,,,
,,,,,,,,GainGold,1,,,,,,,,,,,,
,,,,,,,,GainUserexp,1,,,,,,,,,,,,
,,,,,,,,GainItem,1,,,,,,,,,,,,
,,,,,,,,Movespeed,2,,,,,,,,,,,,
,,,,,,,,TotalDamage,1,,,,,,,,,,,,
2600000006,,pinkslime,slime_pink,2200000008,D,1,,Attackpower,1000,0,0,,1,Attackpower,_NONE,100,0,_NONE,_NONE,100,0
,,,,,,,,Hp,10000,,,,,,,,,,,,
,,,,,,,,HpRecovery,1,,,,,,,,,,,,
,,,,,,,,CriticalChance,1,,,,,,,,,,,,
,,,,,,,,CriticalDamage,6,,,,,,,,,,,,
,,,,,,,,SuperCriticalChance,1,,,,,,,,,,,,
,,,,,,,,SuperCriticalDamage,1,,,,,,,,,,,,
,,,,,,,,AttackSpeed,1,,,,,,,,,,,,
,,,,,,,,AttackpowerIncrease,1,,,,,,,,,,,,
,,,,,,,,HpIncrease,1,,,,,,,,,,,,
,,,,,,,,SkillCooldown,1,,,,,,,,,,,,
,,,,,,,,SkillDamage,1,,,,,,,,,,,,
,,,,,,,,EnemyDamagePlus,1,,,,,,,,,,,,
,,,,,,,,BossDamagePlus,1,,,,,,,,,,,,
,,,,,,,,Evasion,1,,,,,,,,,,,,
,,,,,,,,GainGold,1,,,,,,,,,,,,
,,,,,,,,GainUserexp,1,,,,,,,,,,,,
,,,,,,,,GainItem,1,,,,,,,,,,,,
,,,,,,,,Movespeed,2,,,,,,,,,,,,
,,,,,,,,TotalDamage,1,,,,,,,,,,,,
2600000007,,Archer,human_02_SS,2200000001,D,1,,Attackpower,1000,0,0,,1,Attackpower,_NONE,100,0,_NONE,_NONE,100,0
,,,,,,,,Hp,10000,,,,,,,,,,,,
,,,,,,,,HpRecovery,1,,,,,,,,,,,,
,,,,,,,,CriticalChance,1,,,,,,,,,,,,
,,,,,,,,CriticalDamage,6,,,,,,,,,,,,
,,,,,,,,SuperCriticalChance,1,,,,,,,,,,,,
,,,,,,,,SuperCriticalDamage,1,,,,,,,,,,,,
,,,,,,,,AttackSpeed,1,,,,,,,,,,,,
,,,,,,,,AttackpowerIncrease,1,,,,,,,,,,,,
,,,,,,,,HpIncrease,1,,,,,,,,,,,,
,,,,,,,,SkillCooldown,1,,,,,,,,,,,,
,,,,,,,,SkillDamage,1,,,,,,,,,,,,
,,,,,,,,EnemyDamagePlus,1,,,,,,,,,,,,
,,,,,,,,BossDamagePlus,1,,,,,,,,,,,,
,,,,,,,,Evasion,1,,,,,,,,,,,,
,,,,,,,,GainGold,1,,,,,,,,,,,,
,,,,,,,,GainUserexp,1,,,,,,,,,,,,
,,,,,,,,GainItem,1,,,,,,,,,,,,
,,,,,,,,Movespeed,2,,,,,,,,,,,,
,,,,,,,,TotalDamage,1,,,,,,,,,,,,
2600000008,,Boss,human_01_SS_rvs,2200000001,D,1,,Attackpower,1000,0,0,,1,Attackpower,_NONE,100,0,_NONE,_NONE,100,0
,,,,,,,,Hp,10000,,,,,,,,,,,,
,,,,,,,,HpRecovery,1,,,,,,,,,,,,
,,,,,,,,CriticalChance,1,,,,,,,,,,,,
,,,,,,,,CriticalDamage,6,,,,,,,,,,,,
,,,,,,,,SuperCriticalChance,1,,,,,,,,,,,,
,,,,,,,,SuperCriticalDamage,1,,,,,,,,,,,,
,,,,,,,,AttackSpeed,1,,,,,,,,,,,,
,,,,,,,,AttackpowerIncrease,1,,,,,,,,,,,,
,,,,,,,,HpIncrease,1,,,,,,,,,,,,
,,,,,,,,SkillCooldown,1,,,,,,,,,,,,
,,,,,,,,SkillDamage,1,,,,,,,,,,,,
,,,,,,,,EnemyDamagePlus,1,,,,,,,,,,,,
,,,,,,,,BossDamagePlus,1,,,,,,,,,,,,
,,,,,,,,Evasion,1,,,,,,,,,,,,
,,,,,,,,GainGold,1,,,,,,,,,,,,
,,,,,,,,GainUserexp,1,,,,,,,,,,,,
,,,,,,,,GainItem,1,,,,,,,,,,,,
,,,,,,,,Movespeed,2,,,,,,,,,,,,
,,,,,,,,TotalDamage,1,,,,,,,,,,,,
2600000009,바스티안,spear,,2200000001,D,1,,Attackpower,1000,2100012001,2100011001,,1,Attackpower,_NONE,100,0,_NONE,_NONE,100,0
,,,,,,,,Hp,10000,,,,,,,,,,,,
,,,,,,,,HpRecovery,1,,,,,,,,,,,,
,,,,,,,,CriticalChance,1,,,,,,,,,,,,
,,,,,,,,CriticalDamage,6,,,,,,,,,,,,
,,,,,,,,SuperCriticalChance,1,,,,,,,,,,,,
,,,,,,,,SuperCriticalDamage,1,,,,,,,,,,,,
,,,,,,,,AttackSpeed,1,,,,,,,,,,,,
,,,,,,,,AttackpowerIncrease,1,,,,,,,,,,,,
,,,,,,,,HpIncrease,1,,,,,,,,,,,,
,,,,,,,,SkillCooldown,1,,,,,,,,,,,,
,,,,,,,,SkillDamage,1,,,,,,,,,,,,
,,,,,,,,EnemyDamagePlus,1,,,,,,,,,,,,
,,,,,,,,BossDamagePlus,1,,,,,,,,,,,,
,,,,,,,,Evasion,1,,,,,,,,,,,,
,,,,,,,,GainGold,1,,,,,,,,,,,,
,,,,,,,,GainUserexp,1,,,,,,,,,,,,
,,,,,,,,GainItem,1,,,,,,,,,,,,
,,,,,,,,Movespeed,2,,,,,,,,,,,,
,,,,,,,,TotalDamage,1,,,,,,,,,,,,
